author,n_comments,schema_version,api_calls,prompt_tokens,completion_tokens,total_tokens,api_calls_exclude_retries,prompt_tokens_exclude_retries,completion_tokens_exclude_retries,total_tokens_exclude_retries,api_calls_retry_only,prompt_tokens_retry_only,completion_tokens_retry_only,total_tokens_retry_only
pers150,6,2,54,43026,33539,76565,54,43026,33539,76565,0,0,0,0
pers151,25,2,225,239046,96626,335672,225,239046,96626,335672,0,0,0,0
pers152,22,2,198,203897,81020,284917,198,203897,81020,284917,0,0,0,0
pers153,29,2,261,300959,118582,419541,261,300959,118582,419541,0,0,0,0
pers154,15,2,135,125849,47193,173042,135,125849,47193,173042,0,0,0,0
pers155,15,2,135,139578,52106,191684,135,139578,52106,191684,0,0,0,0
pers156,6,2,54,40155,16678,56833,54,40155,16678,56833,0,0,0,0
pers157,4,2,36,25915,18444,44359,36,25915,18444,44359,0,0,0,0
pers158,11,2,99,90093,51522,141615,99,90093,51522,141615,0,0,0,0
pers159,48,2,432,608967,259717,868684,432,608967,259717,868684,0,0,0,0
pers16,27,2,243,272200,108337,380537,243,272200,108337,380537,0,0,0,0
pers160,16,2,144,185325,62191,247516,144,185325,62191,247516,0,0,0,0
pers161,16,2,144,133687,49535,183222,144,133687,49535,183222,0,0,0,0
pers162,8,2,72,60039,31707,91746,72,60039,31707,91746,0,0,0,0
pers163,17,2,153,148472,55077,203549,153,148472,55077,203549,0,0,0,0
pers164,8,2,72,60290,22336,82626,72,60290,22336,82626,0,0,0,0
pers165,16,2,144,144743,57202,201945,144,144743,57202,201945,0,0,0,0
pers166,14,2,126,110004,59454,169458,126,110004,59454,169458,0,0,0,0
pers167,10,2,90,72275,37128,109403,90,72275,37128,109403,0,0,0,0
pers168,5,2,45,33830,14164,47994,45,33830,14164,47994,0,0,0,0
pers169,18,2,162,191194,65484,256678,162,191194,65484,256678,0,0,0,0
pers17,67,2,603,1034485,353022,1387507,603,1034485,353022,1387507,0,0,0,0
pers170,13,2,117,102437,39273,141710,117,102437,39273,141710,0,0,0,0
pers171,34,2,306,372071,144230,516301,306,372071,144230,516301,0,0,0,0
pers172,24,2,216,230605,85034,315639,216,230605,85034,315639,0,0,0,0
pers173,21,2,189,195110,80709,275819,189,195110,80709,275819,0,0,0,0
pers174,67,2,603,1171623,385598,1557221,603,1171623,385598,1557221,0,0,0,0
pers175,22,2,198,223148,78634,301782,198,223148,78634,301782,0,0,0,0
pers176,18,2,162,154570,68751,223321,162,154570,68751,223321,0,0,0,0
pers177,22,2,198,200682,88366,289048,198,200682,88366,289048,0,0,0,0
pers178,9,2,81,65836,34524,100360,81,65836,34524,100360,0,0,0,0
pers179,16,2,144,143748,57038,200786,144,143748,57038,200786,0,0,0,0
pers18,19,2,171,199717,71921,271638,171,199717,71921,271638,0,0,0,0
pers180,29,2,261,325577,129197,454774,261,325577,129197,454774,0,0,0,0
pers181,11,2,99,88272,34168,122440,99,88272,34168,122440,0,0,0,0
pers182,66,2,594,1109846,435739,1545585,594,1109846,435739,1545585,0,0,0,0
pers183,10,2,90,80524,30412,110936,90,80524,30412,110936,0,0,0,0
pers184,17,2,153,182215,67011,249226,153,182215,67011,249226,0,0,0,0
pers185,9,2,81,65788,26861,92649,81,65788,26861,92649,0,0,0,0
pers186,7,2,63,49191,20329,69520,63,49191,20329,69520,0,0,0,0
pers187,3,2,27,19193,15639,34832,27,19193,15639,34832,0,0,0,0
pers188,12,2,108,94377,39024,133401,108,94377,39024,133401,0,0,0,0
pers189,13,2,117,101825,50581,152406,117,101825,50581,152406,0,0,0,0
pers19,46,2,414,576673,204016,780689,414,576673,204016,780689,0,0,0,0
pers190,7,2,63,50320,19876,70196,63,50320,19876,70196,0,0,0,0
pers191,60,2,540,988430,317826,1306256,540,988430,317826,1306256,0,0,0,0
pers192,9,2,81,67727,34547,102274,81,67727,34547,102274,0,0,0,0
pers193,104,2,936,2262218,658570,2920788,936,2262218,658570,2920788,0,0,0,0
pers194,14,2,126,114968,60036,175004,126,114968,60036,175004,0,0,0,0
pers195,12,2,108,100787,38494,139281,108,100787,38494,139281,0,0,0,0
pers196,4,2,36,28440,20852,49292,36,28440,20852,49292,0,0,0,0
pers197,10,2,90,76666,31433,108099,90,76666,31433,108099,0,0,0,0
pers198,12,2,108,102255,47019,149274,108,102255,47019,149274,0,0,0,0
pers199,6,2,54,40893,16301,57194,54,40893,16301,57194,0,0,0,0
pers2,74,2,666,1249166,431718,1680884,666,1249166,431718,1680884,0,0,0,0
pers20,102,2,918,2176940,690946,2867886,918,2176940,690946,2867886,0,0,0,0
pers200,28,2,252,317425,110001,427426,252,317425,110001,427426,0,0,0,0
pers201,20,2,180,182174,72153,254327,180,182174,72153,254327,0,0,0,0
pers202,16,2,144,142334,54956,197290,144,142334,54956,197290,0,0,0,0
pers203,8,2,72,57282,23223,80505,72,57282,23223,80505,0,0,0,0
pers204,17,2,153,160829,67830,228659,153,160829,67830,228659,0,0,0,0
pers205,11,2,99,82793,49651,132444,99,82793,49651,132444,0,0,0,0
pers206,73,2,657,1242818,424840,1667658,657,1242818,424840,1667658,0,0,0,0
pers207,36,2,324,443128,190232,633360,324,443128,190232,633360,0,0,0,0
pers208,6,2,54,42967,17620,60587,54,42967,17620,60587,0,0,0,0
pers209,15,2,135,122265,56674,178939,135,122265,56674,178939,0,0,0,0
pers21,50,2,450,691502,253472,944974,450,691502,253472,944974,0,0,0,0
pers210,32,2,288,327677,119753,447430,288,327677,119753,447430,0,0,0,0
pers211,12,2,108,91863,39198,131061,108,91863,39198,131061,0,0,0,0
pers212,18,2,162,158378,62044,220422,162,158378,62044,220422,0,0,0,0
pers213,6,2,54,42042,17067,59109,54,42042,17067,59109,0,0,0,0
pers214,10,2,90,80951,32286,113237,90,80951,32286,113237,0,0,0,0
pers215,13,2,117,105665,49559,155224,117,105665,49559,155224,0,0,0,0
pers216,26,2,234,257787,110951,368738,234,257787,110951,368738,0,0,0,0
pers217,22,2,198,212340,82841,295181,198,212340,82841,295181,0,0,0,0
pers218,13,2,117,106289,42229,148518,117,106289,42229,148518,0,0,0,0
pers219,17,2,153,161264,57439,218703,153,161264,57439,218703,0,0,0,0
pers22,93,2,837,2049265,655709,2704974,837,2049265,655709,2704974,0,0,0,0
pers220,7,2,63,53406,20877,74283,63,53406,20877,74283,0,0,0,0
pers221,59,2,531,907071,317626,1224697,531,907071,317626,1224697,0,0,0,0
pers222,13,2,117,103272,57558,160830,117,103272,57558,160830,0,0,0,0
pers223,13,2,117,106082,50132,156214,117,106082,50132,156214,0,0,0,0
pers224,9,2,81,72522,30978,103500,81,72522,30978,103500,0,0,0,0
pers225,55,2,495,871016,279439,1150455,495,871016,279439,1150455,0,0,0,0
pers226,84,2,756,1771616,657642,2429258,756,1771616,657642,2429258,0,0,0,0
pers227,9,2,81,65336,26240,91576,81,65336,26240,91576,0,0,0,0
pers228,19,2,171,195074,71592,266666,171,195074,71592,266666,0,0,0,0
pers229,17,2,153,149439,73847,223286,153,149439,73847,223286,0,0,0,0
pers23,62,2,558,941149,341275,1282424,558,941149,341275,1282424,0,0,0,0
pers230,21,2,189,190824,82510,273334,189,190824,82510,273334,0,0,0,0
pers231,24,2,216,234693,101760,336453,216,234693,101760,336453,0,0,0,0
pers232,75,2,675,1350872,437908,1788780,675,1350872,437908,1788780,0,0,0,0
pers233,13,2,117,103937,58146,162083,117,103937,58146,162083,0,0,0,0
pers234,6,2,54,43926,18412,62338,54,43926,18412,62338,0,0,0,0
pers235,11,2,99,82406,31903,114309,99,82406,31903,114309,0,0,0,0
pers236,8,2,72,63001,32936,95937,72,63001,32936,95937,0,0,0,0
pers237,16,2,144,137862,55323,193185,144,137862,55323,193185,0,0,0,0
pers238,8,2,72,60426,24520,84946,72,60426,24520,84946,0,0,0,0
pers239,14,2,126,141190,48190,189380,126,141190,48190,189380,0,0,0,0
pers24,51,2,459,710239,244720,954959,459,710239,244720,954959,0,0,0,0
pers240,92,2,828,2263083,699387,2962470,828,2263083,699387,2962470,0,0,0,0
pers241,9,2,81,72676,35835,108511,81,72676,35835,108511,0,0,0,0
pers242,14,2,126,111268,60860,172128,126,111268,60860,172128,0,0,0,0
pers243,18,2,162,172397,72702,245099,162,172397,72702,245099,0,0,0,0
pers244,21,2,189,190195,73299,263494,189,190195,73299,263494,0,0,0,0
pers245,11,2,99,86019,58075,144094,99,86019,58075,144094,0,0,0,0
pers246,43,2,387,556117,216557,772674,387,556117,216557,772674,0,0,0,0
pers247,57,2,513,865087,303572,1168659,513,865087,303572,1168659,0,0,0,0
pers248,14,2,126,111853,53318,165171,126,111853,53318,165171,0,0,0,0
pers249,17,2,153,155695,76473,232168,153,155695,76473,232168,0,0,0,0
pers25,144,2,1296,3964382,1585046,5549428,1296,3964382,1585046,5549428,0,0,0,0
pers250,19,2,171,159080,77098,236178,171,159080,77098,236178,0,0,0,0
pers251,94,2,846,1858723,564435,2423158,846,1858723,564435,2423158,0,0,0,0
pers252,71,2,639,1357518,415912,1773430,639,1357518,415912,1773430,0,0,0,0
pers253,33,2,297,387536,131769,519305,297,387536,131769,519305,0,0,0,0
pers254,32,2,288,356524,140700,497224,288,356524,140700,497224,0,0,0,0
pers255,4,2,36,27544,26917,54461,36,27544,26917,54461,0,0,0,0
pers256,11,2,99,104448,37348,141796,99,104448,37348,141796,0,0,0,0
pers257,13,2,117,102326,38432,140758,117,102326,38432,140758,0,0,0,0
pers258,18,2,162,165767,63628,229395,162,165767,63628,229395,0,0,0,0
pers259,25,2,225,256041,90568,346609,225,256041,90568,346609,0,0,0,0
pers26,51,2,459,696502,250675,947177,459,696502,250675,947177,0,0,0,0
pers260,15,2,135,130096,48856,178952,135,130096,48856,178952,0,0,0,0
pers261,21,2,189,208748,75868,284616,189,208748,75868,284616,0,0,0,0
pers262,8,2,72,59472,31158,90630,72,59472,31158,90630,0,0,0,0
pers263,9,2,81,72622,44974,117596,81,72622,44974,117596,0,0,0,0
pers264,7,2,63,49112,19878,68990,63,49112,19878,68990,0,0,0,0
pers265,17,2,153,161832,65506,227338,153,161832,65506,227338,0,0,0,0
pers266,18,2,162,162302,66990,229292,162,162302,66990,229292,0,0,0,0
pers267,12,2,108,94799,37310,132109,108,94799,37310,132109,0,0,0,0
pers268,15,2,135,126397,50186,176583,135,126397,50186,176583,0,0,0,0
pers269,11,2,99,85706,41147,126853,99,85706,41147,126853,0,0,0,0
pers27,63,2,567,1077011,424954,1501965,567,1077011,424954,1501965,0,0,0,0
pers270,8,2,72,58332,22997,81329,72,58332,22997,81329,0,0,0,0
pers271,12,2,108,98125,41496,139621,108,98125,41496,139621,0,0,0,0
pers272,10,2,90,77269,45650,122919,90,77269,45650,122919,0,0,0,0
pers273,18,2,162,155322,86134,241456,162,155322,86134,241456,0,0,0,0
pers274,21,2,189,190965,106705,297670,189,190965,106705,297670,0,0,0,0
pers275,14,2,126,117391,45767,163158,126,117391,45767,163158,0,0,0,0
pers276,4,2,36,27486,11034,38520,36,27486,11034,38520,0,0,0,0
pers277,9,2,81,67556,35091,102647,81,67556,35091,102647,0,0,0,0
pers278,27,2,243,272855,102952,375807,243,272855,102952,375807,0,0,0,0
pers279,8,2,72,58854,39465,98319,72,58854,39465,98319,0,0,0,0
pers28,63,2,567,964536,337202,1301738,567,964536,337202,1301738,0,0,0,0
pers280,10,2,90,75781,46064,121845,90,75781,46064,121845,0,0,0,0
pers281,14,2,126,116268,45530,161798,126,116268,45530,161798,0,0,0,0
pers282,22,2,198,200472,86670,287142,198,200472,86670,287142,0,0,0,0
pers283,15,2,135,136683,60338,197021,135,136683,60338,197021,0,0,0,0
pers284,62,2,558,1066735,367910,1434645,558,1066735,367910,1434645,0,0,0,0
pers285,8,2,72,61559,40090,101649,72,61559,40090,101649,0,0,0,0
pers286,13,2,117,115952,45983,161935,117,115952,45983,161935,0,0,0,0
pers287,19,2,171,183177,77435,260612,171,183177,77435,260612,0,0,0,0
pers288,7,2,63,62994,23451,86445,63,62994,23451,86445,0,0,0,0
pers289,12,2,108,102873,39458,142331,108,102873,39458,142331,0,0,0,0
pers29,67,2,603,1115516,356279,1471795,603,1115516,356279,1471795,0,0,0,0
pers290,13,2,117,120540,52241,172781,117,120540,52241,172781,0,0,0,0
pers291,10,2,90,76975,29743,106718,90,76975,29743,106718,0,0,0,0
pers292,45,2,405,547050,220043,767093,405,547050,220043,767093,0,0,0,0
pers293,12,2,108,113677,37962,151639,108,113677,37962,151639,0,0,0,0
pers294,5,2,45,37000,15083,52083,45,37000,15083,52083,0,0,0,0
pers295,12,2,108,96004,39632,135636,108,96004,39632,135636,0,0,0,0
pers296,77,2,693,1263281,503578,1766859,693,1263281,503578,1766859,0,0,0,0
pers297,16,2,144,139903,55438,195341,144,139903,55438,195341,0,0,0,0
pers298,47,2,423,649231,238208,887439,423,649231,238208,887439,0,0,0,0
pers299,10,2,90,97978,41391,139369,90,97978,41391,139369,0,0,0,0
pers3,61,2,549,985129,311644,1296773,549,985129,311644,1296773,0,0,0,0
pers30,43,2,387,587198,196142,783340,387,587198,196142,783340,0,0,0,0
pers300,2,2,18,11557,12032,23589,18,11557,12032,23589,0,0,0,0
pers31,86,2,774,1942388,563728,2506116,774,1942388,563728,2506116,0,0,0,0
pers32,58,2,522,872004,314819,1186823,522,872004,314819,1186823,0,0,0,0
pers33,136,2,1224,3892199,1090645,4982844,1224,3892199,1090645,4982844,0,0,0,0
pers34,66,2,594,1093640,355541,1449181,594,1093640,355541,1449181,0,0,0,0
pers35,128,2,1152,3400313,1116620,4516933,1152,3400313,1116620,4516933,0,0,0,0
pers36,65,2,585,1069262,365937,1435199,585,1069262,365937,1435199,0,0,0,0
pers37,75,2,675,1628273,478255,2106528,675,1628273,478255,2106528,0,0,0,0
pers38,96,2,864,1950310,556511,2506821,864,1950310,556511,2506821,0,0,0,0
pers39,117,2,1053,2661850,837298,3499148,1053,2661850,837298,3499148,0,0,0,0
pers4,55,2,495,893197,304739,1197936,495,893197,304739,1197936,0,0,0,0
pers40,48,2,432,594293,242285,836578,432,594293,242285,836578,0,0,0,0
pers41,34,2,306,452888,160920,613808,306,452888,160920,613808,0,0,0,0
pers42,15,2,135,129642,48465,178107,135,129642,48465,178107,0,0,0,0
pers43,4,2,36,26745,10821,37566,36,26745,10821,37566,0,0,0,0
pers44,14,2,126,117142,45680,162822,126,117142,45680,162822,0,0,0,0
pers45,25,2,225,247288,97544,344832,225,247288,97544,344832,0,0,0,0
pers46,13,2,117,127972,43537,171509,117,127972,43537,171509,0,0,0,0
pers47,5,2,45,33853,22308,56161,45,33853,22308,56161,0,0,0,0
pers48,4,2,36,27922,27750,55672,36,27922,27750,55672,0,0,0,0
pers49,40,2,360,557048,240795,797843,360,557048,240795,797843,0,0,0,0
pers5,92,2,828,2261932,630577,2892509,828,2261932,630577,2892509,0,0,0,0
pers50,20,2,180,194160,70456,264616,180,194160,70456,264616,0,0,0,0
pers51,23,2,207,235833,120589,356422,207,235833,120589,356422,0,0,0,0
pers52,16,2,144,138956,51777,190733,144,138956,51777,190733,0,0,0,0
pers53,12,2,108,108185,41929,150114,108,108185,41929,150114,0,0,0,0
pers54,33,2,297,330076,123922,453998,297,330076,123922,453998,0,0,0,0
pers55,7,2,63,51467,20021,71488,63,51467,20021,71488,0,0,0,0
pers56,4,2,36,27191,11278,38469,36,27191,11278,38469,0,0,0,0
pers57,18,2,162,171316,74973,246289,162,171316,74973,246289,0,0,0,0
pers58,15,2,135,128702,58270,186972,135,128702,58270,186972,0,0,0,0
pers59,15,2,135,119650,47312,166962,135,119650,47312,166962,0,0,0,0
pers6,99,2,891,2135236,646711,2781947,891,2135236,646711,2781947,0,0,0,0
pers60,13,2,117,105042,48505,153547,117,105042,48505,153547,0,0,0,0
pers61,18,2,162,164850,72389,237239,162,164850,72389,237239,0,0,0,0
pers62,4,2,36,26267,26831,53098,36,26267,26831,53098,0,0,0,0
pers63,5,2,45,34489,12736,47225,45,34489,12736,47225,0,0,0,0
pers64,5,2,45,35289,13573,48862,45,35289,13573,48862,0,0,0,0
pers65,16,2,144,137287,76977,214264,144,137287,76977,214264,0,0,0,0
pers66,23,2,207,211505,88680,300185,207,211505,88680,300185,0,0,0,0
pers67,8,2,72,56851,47465,104316,72,56851,47465,104316,0,0,0,0
pers68,9,2,81,66433,26551,92984,81,66433,26551,92984,0,0,0,0
pers69,19,2,171,173944,80633,254577,171,173944,80633,254577,0,0,0,0
pers7,82,2,738,1692581,532310,2224891,738,1692581,532310,2224891,0,0,0,0
pers70,4,2,36,31921,11940,43861,36,31921,11940,43861,0,0,0,0
pers71,12,2,108,101545,39994,141539,108,101545,39994,141539,0,0,0,0
pers72,8,2,72,58699,30714,89413,72,58699,30714,89413,0,0,0,0
pers73,14,2,126,115603,44039,159642,126,115603,44039,159642,0,0,0,0
pers74,16,2,144,148620,56929,205549,144,148620,56929,205549,0,0,0,0
pers75,12,2,108,95029,38672,133701,108,95029,38672,133701,0,0,0,0
pers76,12,2,108,100856,37269,138125,108,100856,37269,138125,0,0,0,0
pers77,11,2,99,83771,33888,117659,99,83771,33888,117659,0,0,0,0
pers78,10,2,90,77921,30413,108334,90,77921,30413,108334,0,0,0,0
pers79,15,2,135,127948,51149,179097,135,127948,51149,179097,0,0,0,0
pers8,15,2,135,137681,59235,196916,135,137681,59235,196916,0,0,0,0
pers80,13,2,117,116163,68048,184211,117,116163,68048,184211,0,0,0,0
pers81,11,2,99,81059,41552,122611,99,81059,41552,122611,0,0,0,0
pers82,7,2,63,54046,22699,76745,63,54046,22699,76745,0,0,0,0
pers83,13,2,117,106398,50999,157397,117,106398,50999,157397,0,0,0,0
pers84,10,2,90,78428,31759,110187,90,78428,31759,110187,0,0,0,0
pers85,8,2,72,58568,24377,82945,72,58568,24377,82945,0,0,0,0
pers86,2,2,18,11929,4480,16409,18,11929,4480,16409,0,0,0,0
pers87,50,2,450,846050,290563,1136613,450,846050,290563,1136613,0,0,0,0
pers88,10,2,90,79711,32079,111790,90,79711,32079,111790,0,0,0,0
pers89,16,2,144,147754,57205,204959,144,147754,57205,204959,0,0,0,0
pers9,26,2,234,330529,130197,460726,234,330529,130197,460726,0,0,0,0
pers90,69,2,621,1099926,353957,1453883,621,1099926,353957,1453883,0,0,0,0
pers91,16,2,144,150365,55753,206118,144,150365,55753,206118,0,0,0,0
pers92,12,2,108,99679,38480,138159,108,99679,38480,138159,0,0,0,0
pers93,20,2,180,181536,87673,269209,180,181536,87673,269209,0,0,0,0
pers94,21,2,189,189748,75362,265110,189,189748,75362,265110,0,0,0,0
pers95,8,2,72,59564,31613,91177,72,59564,31613,91177,0,0,0,0
pers96,12,2,108,96620,44750,141370,108,96620,44750,141370,0,0,0,0
pers97,25,2,225,275724,101215,376939,225,275724,101215,376939,0,0,0,0
pers98,10,2,90,80481,31123,111604,90,80481,31123,111604,0,0,0,0
pers99,17,2,153,149167,83712,232879,153,149167,83712,232879,0,0,0,0
